sweep	reported_energy	abs_delta_previous	recomputed_mismatch	residual	oracle_min_up	oracle_min_dn	projector_up	projector_dn	energy_delta_oracle	s2	zspin	windows	focks	fallback	local	projection
1	-14.573186568166246	NaN	1.2434497875801753e-13	0.00982551934589906	0.9998154171941391	0.9998154171939162	0.02717131415532186	0.027171314171729515	0.00016458627381688018	0.1496896946291839	-1.2124814736850873	98	480	0.0	98.0	0.0
2	-14.573275696194735	8.912802848826118e-5	1.5276668818842154e-13	0.006460177966456662	0.9998712138107997	0.999871213810295	0.022696123132061694	0.02269612317660668	7.545824530019729e-5	0.1499880596463239	-1.2056797233080547	98	414	0.0	98.0	0.0
3	-14.573301420708876	2.572451414195598e-5	8.881784197001252e-14	0.005251024666452026	0.9999122126023123	0.9999122126028	0.01873861080702424	0.018738610754864812	4.973373139982584e-5	0.14695224485061953	-1.1911102695995623	98	388	0.0	98.0	0.0
4	-14.573316935257434	1.5514548557860053e-5	8.348877145181177e-14	0.0044563865242942	0.9999388541088945	0.9999388541084036	0.015638961215553117	0.01563896127833809	3.4219182669659176e-5	0.14450957448585244	-1.179499511450443	98	390	0.0	98.0	0.0
5	-14.573326948805931	1.001354849705649e-5	7.993605777301127e-14	0.0038594092122207976	0.9999566989648462	0.9999566989668087	0.013160595708399628	0.013160595410168072	2.4205634336027515e-5	0.14252297834061034	-1.1701151182337741	98	393	0.0	98.0	0.0
6	-14.573333685425936	6.736620004943461e-6	3.907985046680551e-14	0.003385140352739931	0.9999689439537182	0.9999689439527389	0.011145539836608083	0.011145540012244517	1.7469014212068146e-5	0.14088871818719895	-1.162429506988864	98	394	0.0	98.0	0.0
7	-14.573338352648106	4.667222169629781e-6	1.1901590823981678e-13	0.0029958796189990737	0.9999774929347889	0.9999774929355458	0.009488306866735002	0.009488306707177338	1.2801792200534123e-5	0.13953388443236037	-1.1560779380464097	98	389	0.0	98.0	0.0
8	-14.573341658691366	3.306043259598823e-6	1.0658141036401503e-14	0.0026691093914789255	0.9999835454819058	0.9999835454817748	0.008112839537074245	0.008112839569571416	9.495748811261251e-6	0.13840303770219098	-1.1507886352118037	98	387	0.0	98.0	0.0
9	-14.573344041628955	2.3829375894734994e-6	2.3092638912203256e-14	0.0023901457869863556	0.9999878835104046	0.9999878835102066	0.006961768056514053	0.006961768113012079	7.1128112555385314e-6	0.13745248384550113	-1.1463510329774538	98	385	0.0	98.0	0.0
10	-14.573345783433398	1.7418044429007296e-6	1.687538997430238e-13	0.0021487546128293065	0.9999910200441484	0.9999910200438289	0.005993340569537397	0.00599334067619031	5.371006958299063e-6	0.13665034044911106	-1.1426114983071196	98	382	0.0	98.0	0.0
11	-14.573347071314103	1.2878807051919239e-6	1.5987211554602254e-13	0.0019376265574736393	0.9999933073732119	0.9999933073734464	0.0051740518722177015	0.005174051781774286	4.0831259244811235e-6	0.13597010567540835	-1.139444089787692	98	381	0.0	98.0	0.0
12	-14.573348032719394	9.614052913775595e-7	7.283063041541027e-14	0.0017513492682873543	0.9999949878328555	0.9999949878329687	0.004477605152601869	0.004477605101864481	3.121720720145049e-6	0.13539074543412255	-1.136749246174908	98	382	0.0	98.0	0.0
13	-14.573348756212132	7.234927377197664e-7	7.105427357601002e-14	0.0015857971605470087	0.9999962294151234	0.9999962294151693	0.0038836302132658047	0.0038836301898114993	2.3982279842016396e-6	0.1348959858038672	-1.1344498639177405	98	382	0.0	98.0	0.0
14	-14.57334930440358	5.481914477911687e-7	4.440892098500626e-14	0.0014377959354047746	0.9999971518389933	0.9999971518391211	0.0033753298641784873	0.0033753297884399833	1.8500365630558235e-6	0.13447217963250369	-1.1324817007883385	98	380	0.0	98.0	0.0
15	-14.573349722200867	4.1779728654489645e-7	9.769962616701378e-14	0.0013048560789392556	0.9999978408944541	0.9999978408943458	0.0029388085585830494	0.0029388086319189315	1.4322394186194742e-6	0.1341078886030065	-1.1307911903994952	98	377	0.0	98.0	0.0
16	-14.5733500422263	3.2002543370879266e-7	1.5631940186722204e-13	0.0011849764211803399	0.9999983578852737	0.999998357885181	0.0025629284474139513	0.0025629285196890404	1.1122137308916535e-6	0.1337939995129105	-1.1293355017707298	98	376	0.0	98.0	0.0
17	-14.573350288437062	2.462107620004872e-7	3.552713678800501e-15	0.001076534329950491	0.9999987472166074	0.9999987472162444	0.0022385823409733292	0.0022385826653035183	8.660031216578545e-7	0.13352305114426155	-1.1280796558753914	98	374	0.0	98.0	0.0
18	-14.573350478575515	1.9013845253823547e-7	5.861977570020827e-14	0.0009781963463544564	0.9999990415926464	0.9999990415929937	0.001957990001966088	0.001957989647105083	6.75864614052557e-7	0.13328857004180272	-1.1269934351450241	98	372	0.0	98.0	0.0
19	-14.573350625891768	1.4731625341823928e-7	7.638334409421077e-14	0.0008888498397101925	0.999999264910882	0.9999992649107443	0.0017147692933107926	0.0017147694545206868	5.285484956374376e-7	0.13308526765549278	-1.1260521170576723	98	370	0.0	98.0	0.0
20	-14.573350740361153	1.1446938508186122e-7	1.0658141036401503e-13	0.0008075573546185605	0.9999994348645868	0.9999994348645347	0.001503530498748613	0.0015035305690537636	4.140789275908219e-7	0.13290866800752177	-1.1252348466816917	98	367	0.0	98.0	0.0
21	-14.57335082953228	8.917112737094612e-8	7.105427357601002e-14	0.0007335140624967383	0.999999564531181	0.9999995645311098	0.001319820211723023	0.001319820318501411	3.249079778555597e-7	0.13275508229305588	-1.1245243635499942	98	364	0.0	98.0	0.0
22	-14.573350899151219	6.961893816992415e-8	3.552713678800501e-15	0.0006660288424517418	0.9999996637557312	0.9999996637557461	0.0011597488006516304	0.0011597487753612207	2.5528897218407565e-7	0.13262125470826458	-1.1239055504785986	98	361	0.0	98.0	0.0
23	-14.573350953608927	5.445770767664726e-8	5.861977570020827e-14	0.0006044982013280256	0.9999997398985578	0.999999739898512	0.0010200186084387245	0.0010200186992029693	2.00831202334939e-7	0.13250441793306367	-1.1233655304077743	98	357	0.0	98.0	0.0
24	-14.573350996276135	4.2667208433044834e-8	7.638334409421077e-14	0.0005483815876856424	0.9999997983756077	0.9999997983755835	0.0008980664330894801	0.0008980664867925836	1.5816397613832578e-7	0.13240246653979426	-1.1228944134636527	98	351	0.0	98.0	0.0
25	-14.573351029758996	3.3482860928302216e-8	1.8829382497642655e-13	0.0004972178115325604	0.9999998434985184	0.9999998434984374	0.0007912183537989374	0.0007912185601763901	1.2468100329954268e-7	0.13231311535238333	-1.1224817581327051	98	344	0.0	98.0	0.0
26	-14.573351056069935	2.6310939205131945e-8	5.1514348342607263e-14	0.00045057368235455796	0.9999998783330948	0.9999998783331506	0.0006976274262102559	0.0006976272674638797	9.837020087388737e-8	0.13223485571460292	-1.1221204460019842	98	340	0.0	98.0	0.0
27	-14.573351076768134	2.069819871053369e-8	9.947598300641403e-14	0.00040806291434877123	0.9999999052383526	0.9999999052383343	0.0006156782196168803	0.0006156782836872606	7.767195420171902e-8	0.1321663633307406	-1.1218042915232416	98	332	0.0	98.0	0.0
28	-14.573351093071315	1.6303181027410574e-8	1.3322676295501878e-13	0.0003693465266924187	0.9999999261716712	0.9999999261716391	0.0005434369577563961	0.0005434370766931692	6.13690058770544e-8	0.13210591028428675	-1.1215254957447396	98	331	0.0	98.0	0.0
29	-14.57335110592434	1.2853025310732846e-8	1.2256862191861728e-13	0.000334096678384346	0.999999942403517	0.9999999424035246	0.00047999397737912323	0.0004799939453519736	4.8515724770936686e-8	0.1320528343490992	-1.1212807743037232	98	330	0.0	98.0	0.0
30	-14.573351116065432	1.0141091522086754e-8	1.0125233984581428e-13	0.0003020246323752548	0.9999999550222198	0.9999999550222485	0.00042416707626136266	0.000424166945618935	3.8374654565132005e-8	0.1320061220723412	-1.1210654854890498	98	325	0.0	98.0	0.0
31	-14.573351124073447	8.008015583982342e-9	1.1191048088221578e-13	0.0002728632141904583	0.9999999648417451	0.9999999648417484	0.0003750176769092086	0.0003750176604983053	3.036685214397039e-8	0.13196499984615406	-1.1208760108142646	98	324	0.0	98.0	0.0
32	-14.57335113040052	6.327072199496797e-9	9.059419880941277e-14	0.0002463696004670922	0.9999999724984847	0.9999999724985068	0.0003316778930537822	0.0003316777619105624	2.4039577439793902e-8	0.1319287341709514	-1.1207089580083975	98	326	0.0	98.0	0.0
33	-14.573351135402962	5.00244290435603e-9	7.638334409421077e-14	0.00022231324193051753	0.9999999784543261	0.9999999784543168	0.000293574531540991	0.00029357459303900577	1.9037301512980775e-8	0.13189688211479744	-1.120562222780881	98	326	0.0	98.0	0.0
34	-14.573351139359676	3.956714067498979e-9	9.947598300641403e-14	0.00020048946019107067	0.9999999831142771	0.9999999831142705	0.0002598952162040168	0.00025989526169711635	1.508061053812071e-8	0.13186871483607776	-1.1204325140461289	98	326	0.0	98.0	0.0
35	-14.573351142490807	3.1311309101056395e-9	1.2612133559741778e-13	0.000180706356080864	0.9999999867594608	0.9999999867594429	0.00023013961754378233	0.00023013977243018622	1.194950627336766e-8	0.13184382518727222	-1.1203179311460627	98	325	0.0	98.0	0.0
36	-14.57335114496924	2.478433458463769e-9	4.085620730620576e-14	0.0001627846318924008	0.9999999896079808	0.9999999896079868	0.00020388656716113893	0.0002038865180717045	9.4709875497756e-9	0.13182187504230325	-1.1202168894692033	98	326	0.0	98.0	0.0
37	-14.573351146932023	1.962781936981628e-9	2.1671553440683056e-13	0.0001465618585041715	0.999999991840631	0.9999999918406339	0.00018066208154392707	0.00018066205870094956	7.50794804105226e-9	0.1318024526385826	-1.1201275106349233	98	326	0.0	98.0	0.0
38	-14.57335114848686	1.5548380360996816e-9	1.2789769243681803e-13	0.0001318875856685188	0.9999999935903704	0.9999999935903608	0.00016012357738755695	0.00016012370689322215	5.953198822794548e-9	0.13178527729203293	-1.120048487658209	98	324	0.0	98.0	0.0
39	-14.573351149718974	1.232113078231123e-9	8.881784197001252e-14	0.00011862362031229974	0.999999994961248	0.9999999949612474	0.00014197126522120477	0.00014197126903534775	4.7211248244138915e-9	0.13177010289644864	-1.1199786765245585	98	324	0.0	98.0	0.0
40	-14.57335115069545	9.764757891161935e-10	7.993605777301127e-14	0.00010664301530314131	0.9999999960380382	0.9999999960380348	0.00012589085926619946	0.00012589091171467622	3.744657917081895e-9	0.13175665740279396	-1.119916835045969	98	325	0.0	98.0	0.0
